date,nav,fund_name
2025-01-02,5603.5453,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-03,5604.3724,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-06,5607.5187,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-07,5608.3364,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-08,5608.6713,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-09,5608.9131,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-10,5610.3063,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-13,5613.1264,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-14,5613.9876,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-15,5615.6509,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-16,5617.329,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-17,5618.584,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-20,5621.8468,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-21,5622.9541,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-22,5623.6568,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-23,5624.5255,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-24,5625.5281,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-27,5629.0101,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-28,5630.4184,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-29,5632.2632,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-30,5633.6602,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-01-31,5634.8733,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-02-03,5638.0374,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-02-04,5639.5493,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-02-05,5641.2929,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-02-06,5644.1449,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
2025-02-07,5644.185,HDFC_Money_Market_Fund_-_Growth_Option_-_Direct_Plan
